source_file,width,height,crs,min_longitude,min_latitude,max_longitude,max_latitude,valid_pixel_count,cattle_sum,cattle_mean,cattle_min,cattle_max,value_unit,dataset,crop_area_percent_sum,crop_area_percent_mean,crop_area_percent_min,crop_area_percent_max,rangeland_area_percent_sum,rangeland_area_percent_mean,rangeland_area_percent_min,rangeland_area_percent_max
geonode__cattle_gha.tif,355,419,EPSG:4326,21.833333333333314,-11.749999999999993,51.41666666666664,23.16666666666667,73307,153513715.9895686,2094.120834157292,0.0,84625.45009501623,cattle per pixel,cattle,,,,,,,,
asap_mask_crop_v04.tif,80640,29346,EPSG:4326,-180.004464285715,-56.00446430667502,179.99553577188502,75.004464285715,2366461440,,,,,percent of pixel area,crop,6076478123.0,2.567748631053122,0.0,100.0,,,,
asap_mask_rangeland_v04.tif,80640,29346,EPSG:4326,-180.004464285715,-56.00446430667502,179.99553577188502,75.004464285715,2366461440,,,,,percent of pixel area,rangeland,,,,,18371559449.0,7.763303951827755,0.0,100.0
