model,target,lead,fold,test_years,n_test,n_train,mae,rmse,mae_log,skill_vs_persistence,skill_vs_climatology,note,best_baseline_mae,skill_vs_best_baseline,best_of_three_mae,skill_vs_best_of_three
persistence,level,3,7,2022-2023,72,762,16662.027777777777,22725.375596456048,0.3843369497904655,0.0,0.6553363631317293,,16662.027777777777,0.0,16662.027777777777,0.0
climatology,level,3,7,2022-2023,72,762,48342.86531986532,55658.65515316127,2.817132416168313,-1.901379469811017,0.0,,16662.027777777777,-1.9013794698110167,16662.027777777777,-1.9013794698110167
elasticnet,level,3,7,2022-2023,72,762,29811.61951955596,36696.118699569066,0.9844883997787908,-0.7891951638272894,0.383329487768165,,16662.027777777777,-0.7891951638272896,16662.027777777777,-0.7891951638272896
gbt,level,3,8,2024-2025,72,834,13832.978751825947,17195.920016250846,0.3608094268705947,0.0885739659199661,0.6528530356954663,,15177.291666666666,0.08857396591996614,15177.291666666666,0.08857396591996614
persistence,level,3,8,2024-2025,72,834,15177.291666666666,18498.19004547021,0.3571594311764453,0.0,0.6191166904125869,,15177.291666666666,0.0,15177.291666666666,0.0
climatology,level,3,8,2024-2025,72,834,39847.61548913043,44487.323218148405,1.857285422172076,-1.6254760311845555,0.0,,15177.291666666666,-1.6254760311845557,15177.291666666666,-1.6254760311845557
elasticnet,level,3,8,2024-2025,72,834,17783.339836184376,21959.368031526752,0.4950133330175641,-0.171707062548009,0.5537163361497682,,15177.291666666666,-0.17170706254800905,15177.291666666666,-0.17170706254800905
gbt,level,6,1,2010-2011,72,324,2907.3982301129654,4957.762782057584,1.1515235444493324,0.2660788059667508,-0.4399859158486094,,2019.0462962962963,-0.4399859158486097,2019.0462962962963,-0.4399859158486097
persistence,level,6,1,2010-2011,72,324,3961.4583333333335,6355.848224491974,1.6573255104537827,0.0,-0.9620443278592292,,2019.0462962962963,-0.9620443278592294,2019.0462962962963,-0.9620443278592294
climatology,level,6,1,2010-2011,72,324,2019.0462962962963,3816.575495883061,1.0881877135203908,0.4903275192099804,0.0,,2019.0462962962963,0.0,2019.0462962962963,0.0
elasticnet,level,6,1,2010-2011,72,324,2553.5205261636083,4940.2967708376855,1.1885599938017195,0.355408965259778,-0.2647161835009639,,2019.0462962962963,-0.26471618350096393,2019.0462962962963,-0.26471618350096393
gbt,level,6,2,2012-2013,72,396,3004.475960469701,6430.224058347539,2.0677198690007472,0.3572014870686341,-0.5461399606711552,,1943.2108585858584,-0.5461399606711552,1863.503419248913,-0.6122728455634701
persistence,level,6,2,2012-2013,72,396,4674.055555555556,8002.361141146614,1.583094188951063,0.0,-1.4053259762849557,,1943.2108585858584,-1.405325976284955,1863.503419248913,-1.5082087359085388
climatology,level,6,2,2012-2013,72,396,1943.2108585858584,3541.8150940377354,0.9148213752058024,0.5842559345970613,0.0,,1943.2108585858584,0.0,1863.503419248913,-0.04277289674578211
elasticnet,level,6,2,2012-2013,72,396,2833.951821820564,6126.691056864517,1.0002555091483605,0.3936846089789957,-0.4583861598441914,,1943.2108585858584,-0.4583861598441914,1863.503419248913,-0.5207655604746846
gbt,level,6,3,2014-2015,72,468,6349.863447653146,12140.198968151008,1.3162152598573122,0.3594237376564849,-0.2439900436384048,,5104.432692307692,-0.24399004363840482,5104.432692307692,-0.24399004363840482
persistence,level,6,3,2014-2015,72,468,9912.736111111111,15593.06540447815,1.45320938618362,0.0,-0.9419858598683188,,5104.432692307692,-0.9419858598683188,5104.432692307692,-0.9419858598683188
climatology,level,6,3,2014-2015,72,468,5104.432692307692,9742.216095449936,0.8648016311425416,0.4850631919287983,0.0,,5104.432692307692,0.0,5104.432692307692,0.0
elasticnet,level,6,3,2014-2015,72,468,7061.096734101005,13323.077530317392,1.4985663298075695,0.2876742954766773,-0.3833264458050307,,5104.432692307692,-0.3833264458050307,5104.432692307692,-0.3833264458050307
gbt,level,6,4,2016-2017,72,540,2171.8130138907345,3960.5402897674608,0.8005467454384867,0.6072572221521213,-0.1999771086572679,,1809.878703703704,-0.1999771086572677,1809.878703703704,-0.1999771086572677
persistence,level,6,4,2016-2017,72,540,5529.861111111111,8368.11279003018,1.5841542175965992,0.0,-2.055376639216154,,1809.878703703704,-2.055376639216153,1809.878703703704,-2.055376639216153
climatology,level,6,4,2016-2017,72,540,1809.878703703704,3124.8538172920094,0.671431101054205,0.6727081083343799,0.0,,1809.878703703704,0.0,1809.878703703704,0.0
elasticnet,level,6,4,2016-2017,72,540,3089.706044603272,5920.355855965029,0.9713711691899982,0.4412687800792777,-0.7071343169465183,,1809.878703703704,-0.7071343169465178,1809.878703703704,-0.7071343169465178
gbt,level,6,5,2018-2019,72,612,1539.1264701477885,2406.0443283973427,0.760399879352904,0.5915615719848564,0.0880676614303872,,1687.763888888889,0.08806766143038725,1687.763888888889,0.08806766143038725
persistence,level,6,5,2018-2019,72,612,3768.319444444444,5828.9840273984855,1.5031259307050833,0.0,-1.232729038257392,,1687.763888888889,-1.2327290382573914,1687.763888888889,-1.2327290382573914
climatology,level,6,5,2018-2019,72,612,1687.763888888889,2888.108223355477,0.7841219480232637,0.552117618006848,0.0,,1687.763888888889,0.0,1687.763888888889,0.0
elasticnet,level,6,5,2018-2019,72,612,1806.2887433077688,2996.4878373160204,0.8117732227129838,0.5206646437656067,-0.0702259689279811,,1687.763888888889,-0.07022596892798116,1687.763888888889,-0.07022596892798116
gbt,level,6,6,2020-2021,72,684,15052.19915511877,22735.30805743281,2.4405039894163973,0.1462846521724169,-0.1237144919295627,,13395.03874269006,-0.12371449192956274,13395.03874269006,-0.12371449192956274
persistence,level,6,6,2020-2021,72,684,17631.402777777777,23458.223635326696,1.824042097582236,0.0,-0.3162636642166927,,13395.03874269006,-0.3162636642166927,13395.03874269006,-0.3162636642166927
climatology,level,6,6,2020-2021,72,684,13395.03874269006,20349.935463511305,1.5117736319741366,0.2402737937804435,0.0,,13395.03874269006,0.0,13395.03874269006,0.0
elasticnet,level,6,6,2020-2021,72,684,14111.272865829462,21411.745771911777,1.6206790562831896,0.1996511540411866,-0.053470104633349,,13395.03874269006,-0.053470104633349,13395.03874269006,-0.053470104633349
gbt,level,6,7,2022-2023,72,756,51188.94985837556,59514.794831002735,3.893824958159081,-0.8792397133229966,-0.0584954641961557,,27239.180555555555,-0.8792397133229966,27239.180555555555,-0.8792397133229966
persistence,level,6,7,2022-2023,72,756,27239.180555555555,34550.799931445545,0.6082930328581454,0.0,0.4367427121234822,,27239.180555555555,0.0,27239.180555555555,0.0
climatology,level,6,7,2022-2023,72,756,48360.103174603166,55667.80146559511,2.8251825371600794,-0.7753875920008138,0.0,,27239.180555555555,-0.7753875920008138,27239.180555555555,-0.7753875920008138
elasticnet,level,6,7,2022-2023,72,756,35919.81999485915,43926.04102375402,1.423405285024442,-0.3186821065192851,0.2572426931106542,,27239.180555555555,-0.3186821065192851,27239.180555555555,-0.3186821065192851
gbt,level,6,8,2024-2025,72,828,21341.7901129623,24457.80268759196,0.6794614901514743,0.1472129251863286,0.465757457376687,,25025.930555555555,0.14721292518632867,25025.930555555555,0.14721292518632867
persistence,level,6,8,2024-2025,72,828,25025.930555555555,29403.942871237523,0.5586003791816752,0.0,0.3735334898924897,,25025.930555555555,0.0,25025.930555555555,0.0
climatology,level,6,8,2024-2025,72,828,39947.75483091788,44547.526601982485,1.887290882385112,-0.5962545225735789,0.0,,25025.930555555555,-0.5962545225735794,25025.930555555555,-0.5962545225735794
elasticnet,level,6,8,2024-2025,72,828,43188.56233164908,81572.66338618645,0.6610342145661255,-0.7257525044183246,-0.0811261487522436,,25025.930555555555,-0.7257525044183251,25025.930555555555,-0.7257525044183251
gbt,level,9,1,2010-2011,72,318,3048.096375866846,5161.822385099361,1.1512481817934777,0.2997554662999054,-0.5096713638801753,,2019.046296296296,-0.5096713638801753,2019.046296296296,-0.5096713638801753
persistence,level,9,1,2010-2011,72,318,4352.902777777777,6811.89067509487,1.926381892381792,0.0,-1.1559202410378937,,2019.046296296296,-1.1559202410378937,2019.046296296296,-1.1559202410378937
climatology,level,9,1,2010-2011,72,318,2019.046296296296,3810.900768844308,1.0881877135203908,0.5361609483667242,0.0,,2019.046296296296,0.0,2019.046296296296,0.0
elasticnet,level,9,1,2010-2011,72,318,8903.312447561575,24626.62269867912,1.6267101224904086,-1.0453736051754523,-3.409662355882408,,2019.046296296296,-3.409662355882408,2019.046296296296,-3.409662355882408
gbt,level,9,2,2012-2013,72,390,3085.736453077357,6392.137744600056,2.069032761435975,0.4312472490180791,-0.5793661417009015,,1953.7815656565656,-0.5793661417009017,1953.7815656565656,-0.5793661417009017
persistence,level,9,2,2012-2013,72,390,5425.444444444444,8842.585246031464,2.0090507698270192,0.0,-1.7768940703569545,,1953.7815656565656,-1.776894070356955,1953.7815656565656,-1.776894070356955
climatology,level,9,2,2012-2013,72,390,1953.7815656565656,3544.2057758955875,0.9250345527236624,0.6398854350711853,0.0,,1953.7815656565656,0.0,1953.7815656565656,0.0
elasticnet,level,9,2,2012-2013,72,390,2312.6918644650477,3696.646009163765,1.1090927700440176,0.5737322742594477,-0.1837003199934841,,1953.7815656565656,-0.18370031999348435,1953.7815656565656,-0.18370031999348435
gbt,level,9,3,2014-2015,72,462,6597.1800209901385,12351.564896590156,1.536932471725007,0.4353616127705497,-0.2940142012027393,,5098.228454415955,-0.29401420120273936,4949.6076056914335,-0.33286929925600606
persistence,level,9,3,2014-2015,72,462,11683.902777777776,17306.45969597287,1.7971281009159317,0.0,-1.2917573981325767,,5098.228454415955,-1.2917573981325767,4949.6076056914335,-1.360571525779688
climatology,level,9,3,2014-2015,72,462,5098.228454415955,9741.552738585804,0.8589778127278964,0.5636536394232464,0.0,,5098.228454415955,0.0,4949.6076056914335,-0.03002679415508136
elasticnet,level,9,3,2014-2015,72,462,7328.775479657879,13578.633783785715,1.893658986901272,0.3727459378045443,-0.437514137545147,,5098.228454415955,-0.437514137545147,4949.6076056914335,-0.4806780786482343
gbt,level,9,4,2016-2017,72,534,1999.2405059297944,3547.564567000211,0.7749886246382894,0.6402104657871506,-0.1061498748799474,,1807.3866402116405,-0.1061498748799472,1807.3866402116405,-0.1061498748799472
persistence,level,9,4,2016-2017,72,534,5556.694444444444,8626.805281279456,1.6692336215612158,0.0,-2.0744359401670525,,1807.3866402116405,-2.074435940167052,1807.3866402116405,-2.074435940167052
climatology,level,9,4,2016-2017,72,534,1807.3866402116405,3125.692553556536,0.6695350540216187,0.6747370836597545,0.0,,1807.3866402116405,0.0,1807.3866402116405,0.0
elasticnet,level,9,4,2016-2017,72,534,3432.1014302620138,6365.170536450348,1.214371011582755,0.3823483611388041,-0.8989303970179416,,1807.3866402116405,-0.8989303970179414,1807.3866402116405,-0.8989303970179414
gbt,level,9,5,2018-2019,72,606,1546.602869069854,2450.765549670806,0.7700943146840008,0.6222115696609077,0.0860488362871126,,1692.2160947712418,0.08604883628711268,1692.2160947712418,0.08604883628711268
persistence,level,9,5,2018-2019,72,606,4093.8333333333335,6251.555264270022,1.670934704968217,0.0,-1.4192142752824657,,1692.2160947712418,-1.4192142752824655,1692.2160947712418,-1.4192142752824655
climatology,level,9,5,2018-2019,72,606,1692.2160947712418,2890.071088915122,0.7871991101409503,0.5866426507907239,0.0,,1692.2160947712418,0.0,1692.2160947712418,0.0
elasticnet,level,9,5,2018-2019,72,606,1988.034027761496,3460.3634076469107,0.8224269593212858,0.5143832525925589,-0.1748109676443205,,1692.2160947712418,-0.17481096764432058,1692.2160947712418,-0.17481096764432058
gbt,level,9,6,2020-2021,72,678,14973.994497529837,22812.835288533952,1.9920835604748064,0.3008043016703817,-0.1185162374612489,,13387.37337556855,-0.11851623746124917,13387.37337556855,-0.11851623746124917
persistence,level,9,6,2020-2021,72,678,21416.027777777777,28112.779975879694,2.2128304574946758,0.0,-0.5997184195117182,,13387.37337556855,-0.5997184195117182,13387.37337556855,-0.5997184195117182
climatology,level,9,6,2020-2021,72,678,13387.37337556855,20347.78853961099,1.505981187410673,0.3748899882610405,0.0,,13387.37337556855,0.0,13387.37337556855,0.0
elasticnet,level,9,6,2020-2021,72,678,15386.777938804677,23258.751353890144,2.1018547375780785,0.2815297916838396,-0.149350026113783,,13387.37337556855,-0.149350026113783,13387.37337556855,-0.149350026113783
gbt,level,9,7,2022-2023,72,750,51957.138463149895,60526.39397873585,4.166330558547402,-0.4529480140050135,-0.0739043778107151,,35759.805555555555,-0.4529480140050135,35759.805555555555,-0.4529480140050135
persistence,level,9,7,2022-2023,72,750,35759.805555555555,44274.65097453245,0.813998825735202,0.0,0.2608790077419731,,35759.805555555555,0.0,35759.805555555555,0.0
climatology,level,9,7,2022-2023,72,750,48381.53148148148,55681.324955018834,2.844548170698129,-0.3529584607588854,0.0,,35759.805555555555,-0.3529584607588854,35759.805555555555,-0.3529584607588854
elasticnet,level,9,7,2022-2023,72,750,35157.73483087335,41414.96326028626,1.439500667262108,0.016836521209458,0.273323234004481,,35759.805555555555,0.016836521209458,35759.805555555555,0.016836521209458
gbt,level,9,8,2024-2025,72,822,23082.731294327168,26535.86882138128,0.7861647136798063,0.2751049846374269,0.4242841450118915,,31842.86111111111,0.27510498463742694,31842.86111111111,0.27510498463742694
persistence,level,9,8,2024-2025,72,822,31842.86111111111,37328.65835201034,0.7063321057842358,0.0,0.2057941594478327,,31842.86111111111,0.0,31842.86111111111,0.0
climatology,level,9,8,2024-2025,72,822,40093.96492094862,44593.13433027138,1.9352200347965325,-0.2591194233786489,0.0,,31842.86111111111,-0.2591194233786489,31842.86111111111,-0.2591194233786489
elasticnet,level,9,8,2024-2025,72,822,62198.07926403379,114917.7199012538,0.7828370030969398,-0.9532817433396604,-0.5513077688042778,,31842.86111111111,-0.9532817433396605,31842.86111111111,-0.9532817433396605
gbt,level,18,1,2010-2011,72,300,2921.8819756432204,5155.280913687541,1.2468970846722296,0.3152307223584589,-0.3650137511928819,,2140.551311728395,-0.36501375119288193,2140.551311728395,-0.36501375119288193
persistence,level,18,1,2010-2011,72,300,4266.958333333333,6133.854012092777,2.2429122410018447,0.0,-0.9933922209451564,,2140.551311728395,-0.9933922209451564,2140.551311728395,-0.9933922209451564
climatology,level,18,1,2010-2011,72,300,2140.551311728395,3928.43296131209,1.109161950339785,0.4983425793014004,0.0,,2140.551311728395,0.0,2140.551311728395,0.0
elasticnet,level,18,1,2010-2011,72,300,3143.327390529068,4986.098831466626,1.3824011783700216,0.2633330009403885,-0.4684662653524425,,2140.551311728395,-0.4684662653524425,2140.551311728395,-0.4684662653524425
gbt,level,18,2,2012-2013,72,372,2532.1538222034533,5768.885364781842,1.028621626066185,0.5657386472587616,-0.3308508679612421,,1902.657828282828,-0.3308508679612421,1902.657828282828,-0.3308508679612421
persistence,level,18,2,2012-2013,72,372,5830.944444444444,9224.560341826596,2.4307006041491777,0.0,-2.0646311479489423,,1902.657828282828,-2.0646311479489423,1902.657828282828,-2.0646311479489423
climatology,level,18,2,2012-2013,72,372,1902.657828282828,3407.125783214105,0.9295672743296024,0.6736964575103052,0.0,,1902.657828282828,0.0,1902.657828282828,0.0
elasticnet,level,18,2,2012-2013,72,372,2380.408633659338,5374.4924673335645,0.8184559914819373,0.5917627656481408,-0.2510965441472397,,1902.657828282828,-0.2510965441472397,1902.657828282828,-0.2510965441472397
gbt,level,18,3,2014-2015,72,444,6385.333628454996,11778.603344499414,1.4311157204208038,0.5294006638646052,-0.2618789697124437,,5060.179131054131,-0.26187896971244373,5060.179131054131,-0.26187896971244373
persistence,level,18,3,2014-2015,72,444,13568.513888888889,19305.034764638185,2.510423987579502,0.0,-1.681429557625623,,5060.179131054131,-1.681429557625623,5060.179131054131,-1.681429557625623
climatology,level,18,3,2014-2015,72,444,5060.179131054131,9679.797576130435,0.8511636800976725,0.6270646017322605,0.0,,5060.179131054131,0.0,5060.179131054131,0.0
elasticnet,level,18,3,2014-2015,72,444,6726.931306963978,12787.065349799735,1.4409866959402875,0.5042249017062517,-0.3293860024996053,,5060.179131054131,-0.32938600249960537,5060.179131054131,-0.32938600249960537
gbt,level,18,4,2016-2017,72,516,3058.753055518898,5705.994004645886,0.954880601183412,0.5036248892835089,-0.6653307367688697,,1836.724074074074,-0.6653307367688697,1836.724074074074,-0.6653307367688697
persistence,level,18,4,2016-2017,72,516,6162.180555555556,9096.959472965556,1.9088186132154088,0.0,-2.354984367296445,,1836.724074074074,-2.354984367296445,1836.724074074074,-2.354984367296445
climatology,level,18,4,2016-2017,72,516,1836.724074074074,3118.6258369395705,0.6703224718937238,0.7019360180191145,0.0,,1836.724074074074,0.0,1836.724074074074,0.0
elasticnet,level,18,4,2016-2017,72,516,2657.484569638833,4968.565366387155,0.8484962879890782,0.5687428263939849,-0.4468610757326297,,1836.724074074074,-0.4468610757326297,1836.724074074074,-0.4468610757326297
gbt,level,18,5,2018-2019,72,588,1936.4827313791811,3204.758135660017,0.8495239423594533,0.5740873757963678,-0.1362956923722094,,1704.2066993464052,-0.1362956923722094,1704.2066993464052,-0.1362956923722094
persistence,level,18,5,2018-2019,72,588,4546.666666666667,6565.463297099112,1.913619447362389,0.0,-1.6679079881627024,,1704.2066993464052,-1.6679079881627024,1704.2066993464052,-1.6679079881627024
climatology,level,18,5,2018-2019,72,588,1704.2066993464052,2909.1619633591013,0.7937342112311111,0.6251744796158933,0.0,,1704.2066993464052,0.0,1704.2066993464052,0.0
elasticnet,level,18,5,2018-2019,72,588,1756.6852168334758,3193.205883891058,0.7726675000049654,0.613632283687652,-0.0307935167178941,,1704.2066993464052,-0.0307935167178941,1704.2066993464052,-0.0307935167178941
gbt,level,18,6,2020-2021,72,660,14673.283312875134,22338.945732758217,1.8883793490801088,0.4032882300692915,-0.1017065418242642,,13318.685834957763,-0.10170654182426442,13318.685834957763,-0.10170654182426442
persistence,level,18,6,2020-2021,72,660,24590.23611111111,30760.225862259565,2.984697991170295,0.0,-0.8462959796355229,,13318.685834957763,-0.8462959796355232,13318.685834957763,-0.8462959796355232
climatology,level,18,6,2020-2021,72,660,13318.685834957763,20251.06283347981,1.497153064918609,0.4583750324812981,0.0,,13318.685834957763,0.0,13318.685834957763,0.0
elasticnet,level,18,6,2020-2021,72,660,15382.850656854664,23344.097502957684,2.1663327704856474,0.3744325761108118,-0.154982619717559,,13318.685834957763,-0.15498261971755922,13318.685834957763,-0.15498261971755922
gbt,level,18,7,2022-2023,72,732,51538.80648449333,60007.0309402592,4.000584959437584,-0.0691783428180332,-0.0664158678962132,,48204.125,-0.06917834281803326,48204.125,-0.06917834281803326
persistence,level,18,7,2022-2023,72,732,48204.125,57225.1966050455,1.2784501727255793,0.0,0.0025837363246052,,48204.125,0.0,48204.125,0.0
climatology,level,18,7,2022-2023,72,732,48328.99437830688,55604.08132957759,2.8512589217289896,-0.0025904293109122,0.0,,48204.125,-0.0025904293109122456,48204.125,-0.0025904293109122456
elasticnet,level,18,7,2022-2023,72,732,49084.12442337841,57062.86854672567,2.7865672890390503,-0.0182556871093171,-0.0156247829027968,,48204.125,-0.01825568710931713,48204.125,-0.01825568710931713
gbt,level,18,8,2024-2025,72,804,14062.65106900426,17560.511772702626,0.3316180019516916,0.6398985691524933,0.6517711586414137,,39051.91666666666,0.6398985691524932,39051.91666666666,0.6398985691524932
persistence,level,18,8,2024-2025,72,804,39051.91666666666,46058.834536203074,0.8404205867521628,0.0,0.032970125836429,,39051.91666666666,0.0,39051.91666666666,0.0
climatology,level,18,8,2024-2025,72,804,40383.361166007904,44695.09522854808,2.098377013679568,-0.0340942164428439,0.0,,39051.91666666666,-0.03409421644284416,39051.91666666666,-0.03409421644284416
elasticnet,level,18,8,2024-2025,72,804,32526.571610387964,52418.56319676448,0.5311246138113037,0.1670941048035295,0.1945551169780607,,39051.91666666666,0.16709410480352938,39051.91666666666,0.16709410480352938
gbt,level,27,1,2010-2011,72,282,3537.53052593033,6120.556000306774,1.2174456992461573,0.2241855911551713,-0.5783658756408088,,2241.261408730159,-0.5783658756408088,2241.261408730159,-0.5783658756408088
persistence,level,27,1,2010-2011,72,282,4559.763888888889,6932.803678687449,2.1198264089787604,0.0,-1.0344632139418013,,2241.261408730159,-1.0344632139418013,2241.261408730159,-1.0344632139418013
climatology,level,27,1,2010-2011,72,282,2241.261408730159,4008.21049692474,1.1118514670942008,0.5084698542853052,0.0,,2241.261408730159,0.0,2241.261408730159,0.0
elasticnet,level,27,1,2010-2011,72,282,2346.2767676387834,4258.244518192377,1.238295065466871,0.4854389778040638,-0.0468554709859228,,2241.261408730159,-0.0468554709859228,2241.261408730159,-0.0468554709859228
gbt,level,27,2,2012-2013,72,354,1960.9094791525492,4031.9200086988576,0.7989819459300638,0.6286527480444832,-0.0120748955808942,,1937.5141975308643,-0.01207489558089403,1937.5141975308643,-0.01207489558089403
persistence,level,27,2,2012-2013,72,354,5280.527777777777,8865.230051223212,1.952525506141457,0.0,-1.7254137205844446,,1937.5141975308643,-1.7254137205844446,1937.5141975308643,-1.7254137205844446
climatology,level,27,2,2012-2013,72,354,1937.5141975308643,3463.6190653915787,0.937175040223427,0.6330832297323441,0.0,,1937.5141975308643,0.0,1937.5141975308643,0.0
elasticnet,level,27,2,2012-2013,72,354,2381.4773459319986,5468.485297649124,0.8187185627301218,0.5490077041249457,-0.2291405910557524,,1937.5141975308643,-0.22914059105575246,1937.5141975308643,-0.22914059105575246
gbt,level,27,3,2014-2015,72,426,6104.019027915719,11474.886487219368,1.337818967423419,0.4883631882555478,-0.2332604104928139,,4949.497264309764,-0.23326041049281376,4949.497264309764,-0.23326041049281376
persistence,level,27,3,2014-2015,72,426,11930.375,18200.69946801496,2.1232530818072632,0.0,-1.4104215767586168,,4949.497264309764,-1.4104215767586163,4949.497264309764,-1.4104215767586163
climatology,level,27,3,2014-2015,72,426,4949.497264309764,9430.561045672204,0.8380136603546114,0.5851348122494252,0.0,,4949.497264309764,0.0,4949.497264309764,0.0
elasticnet,level,27,3,2014-2015,72,426,6669.487182598782,12713.098995091255,1.2991070275043024,0.4409658386598256,-0.3475080046395138,,4949.497264309764,-0.3475080046395136,4949.497264309764,-0.3475080046395136
gbt,level,27,4,2016-2017,72,498,3005.704393215973,5302.6536250110685,1.527663558802849,0.4602025978046248,-0.6541587431582192,,1817.0592185592184,-0.6541587431582194,1817.0592185592184,-0.6541587431582194
persistence,level,27,4,2016-2017,72,498,5568.208333333333,8472.44654666591,1.5780112641152633,0.0,-2.0644066392885496,,1817.0592185592184,-2.06440663928855,1817.0592185592184,-2.06440663928855
climatology,level,27,4,2016-2017,72,498,1817.0592185592184,3090.3678226968063,0.6724522167609815,0.6736725514234736,0.0,,1817.0592185592184,0.0,1817.0592185592184,0.0
elasticnet,level,27,4,2016-2017,72,498,2808.371526623081,5403.70666126204,0.8496047106486448,0.495641801006054,-0.5455586135766635,,1817.0592185592184,-0.5455586135766635,1817.0592185592184,-0.5455586135766635
gbt,level,27,5,2018-2019,72,570,1897.1611813588916,2810.1399570303083,1.9179004486829323,0.5529678032934825,-0.0558117800966004,,1796.8744212962963,-0.05581178009660048,1796.8744212962963,-0.05581178009660048
persistence,level,27,5,2018-2019,72,570,4243.902777777777,6376.996026299879,1.7164195855771165,0.0,-1.3618249152415185,,1796.8744212962963,-1.3618249152415185,1796.8744212962963,-1.3618249152415185
climatology,level,27,5,2018-2019,72,570,1796.8744212962963,3137.1088345086896,0.8018385605650769,0.5765985896978563,0.0,,1796.8744212962963,0.0,1796.8744212962963,0.0
elasticnet,level,27,5,2018-2019,72,570,1785.3137990174791,3272.8425300015574,0.7972154367729046,0.5793226441553126,0.0064337396880952,,1796.8744212962963,0.006433739688095241,1796.8744212962963,0.006433739688095241
gbt,level,27,6,2020-2021,72,642,14967.997982019187,22614.982302408356,2.161427952712001,0.1298336086364717,-0.1343625893942461,,13195.073710965868,-0.13436258939424617,13195.073710965868,-0.13436258939424617
persistence,level,27,6,2020-2021,72,642,17201.305555555555,24364.069312662494,2.2131424042736083,0.0,-0.303615722984577,,13195.073710965868,-0.30361572298457706,13195.073710965868,-0.30361572298457706
climatology,level,27,6,2020-2021,72,642,13195.073710965868,20056.02115954549,1.480988893088378,0.2329027777368784,0.0,,13195.073710965868,0.0,13195.073710965868,0.0
elasticnet,level,27,6,2020-2021,72,642,15049.174279877412,22909.997970341843,1.816102524830023,0.1251144146429665,-0.140514604883994,,13195.073710965868,-0.14051460488399403,13195.073710965868,-0.14051460488399403
gbt,level,27,7,2022-2023,72,714,51889.12364589368,60252.357276480536,4.728079623270016,-0.2662038973906167,-0.0709180876525914,,40980.069444444445,-0.2662038973906167,40980.069444444445,-0.2662038973906167
persistence,level,27,7,2022-2023,72,714,40980.069444444445,50782.91001806393,1.294564866893281,0.0,0.1542293544826931,,40980.069444444445,0.0,40980.069444444445,0.0
climatology,level,27,7,2022-2023,72,714,48452.93421052632,55757.63791239115,2.9130587202533462,-0.1823536384244695,0.0,,40980.069444444445,-0.1823536384244695,40980.069444444445,-0.1823536384244695
elasticnet,level,27,7,2022-2023,72,714,48778.85534062328,56841.78799628992,2.581847830731518,-0.1903068004008983,-0.0067265509387077,,40980.069444444445,-0.1903068004008983,40980.069444444445,-0.1903068004008983
gbt,level,27,8,2024-2025,72,786,18845.46847978108,23570.295005678006,0.5169939751323105,0.3802412713936058,0.540252803338017,,30407.75,0.38024127139360586,30407.75,0.38024127139360586
persistence,level,27,8,2024-2025,72,786,30407.75,36324.145056085705,0.6483134987710287,0.0,0.2581835875135106,,30407.75,0.0,30407.75,0.0
climatology,level,27,8,2024-2025,72,786,40990.93722943723,45355.52906961292,2.223624861064422,-0.3480424309407053,0.0,,30407.75,-0.3480424309407053,30407.75,-0.3480424309407053
elasticnet,level,27,8,2024-2025,72,786,32280.973718219782,37738.11558616782,1.0577603362532495,-0.0616034964185046,0.2124851028037112,,30407.75,-0.0616034964185046,30407.75,-0.0616034964185046
gbt,level,36,1,2010-2011,72,264,2009.580611392561,3760.338645251952,1.133702667687882,0.5511866195789965,0.0340920412913497,,2080.509424603175,0.034092041291349795,2080.509424603175,0.034092041291349795
persistence,level,36,1,2010-2011,72,264,4477.541666666667,8515.984895249116,1.6693171242496467,0.0,-1.1521371706935135,,2080.509424603175,-1.1521371706935137,2080.509424603175,-1.1521371706935137
climatology,level,36,1,2010-2011,72,264,2080.509424603175,3775.323010326001,1.1046050275387156,0.5353456026793331,0.0,,2080.509424603175,0.0,2080.509424603175,0.0
elasticnet,level,36,1,2010-2011,72,264,2472.599740383264,4561.142695016436,1.271333758614387,0.4477773911540156,-0.1884588029947878,,2080.509424603175,-0.1884588029947878,2080.509424603175,-0.1884588029947878
gbt,level,36,2,2012-2013,72,336,1737.5176833339804,3471.0556203867745,0.8192403520945981,0.3301818117565196,0.0962752384179533,,1922.6182098765432,0.09627523841795338,1922.6182098765432,0.09627523841795338
persistence,level,36,2,2012-2013,72,336,2594.0138888888887,5005.951725751614,1.0053383993859717,0.0,-0.349209050222955,,1922.6182098765432,-0.349209050222955,1922.6182098765432,-0.349209050222955
climatology,level,36,2,2012-2013,72,336,1922.6182098765432,3388.4469450452,0.948354483044592,0.2588250131921725,0.0,,1922.6182098765432,0.0,1922.6182098765432,0.0
elasticnet,level,36,2,2012-2013,72,336,2492.145054211672,5512.805617453151,0.8728259108422096,0.0392707360255696,-0.2962246177683396,,1922.6182098765432,-0.29622461776833964,1922.6182098765432,-0.29622461776833964
gbt,level,36,3,2014-2015,72,408,6296.568468269373,11798.71373556697,1.3850098485341389,-0.2445485084329932,-0.2536339299631058,,5022.653198653198,-0.25363392996310585,5022.653198653198,-0.25363392996310585
persistence,level,36,3,2014-2015,72,408,5059.319444444444,8062.899630922695,1.085582223525866,0.0,-0.0073001746967276,,5022.653198653198,-0.007300174696727613,5022.653198653198,-0.007300174696727613
