admin_name,admin_pcode,admin_level,area_km2,flood_tile_covered_km2,flood_tile_coverage_share,adm1_name
Central Equatoria,SS01,1,43083.1554712678,43083.15547126773,0.9999999999999984,
Eastern Equatoria,SS02,1,73022.09344325372,73022.0934432537,0.9999999999999998,
Jonglei,SS03,1,121917.69877380741,121917.69877380744,1.0000000000000002,
Lakes,SS04,1,43185.806809316935,43185.8068093169,0.9999999999999991,
Northern Bahr el Ghazal,SS05,1,30851.90680631094,30851.90680631093,0.9999999999999997,
Unity,SS06,1,37058.93489437746,35146.04762344617,0.9483825620897293,
Upper Nile,SS07,1,77235.24383485242,45992.090157727645,0.5954806105884748,
Warrap,SS08,1,35855.47592997683,35855.47592997683,1.0,
Western Bahr el Ghazal,SS09,1,91271.62335348097,86980.6354350192,0.9529866155459574,
Western Equatoria,SS10,1,78913.20801874681,78913.20801874646,0.9999999999999956,
Juba,SS0101,2,18366.51488078527,18366.51488078528,1.0000000000000004,Central Equatoria
Kajo-keji,SS0102,2,2516.1045460267574,2516.104546026756,0.9999999999999994,Central Equatoria
Lainya,SS0103,2,3498.916146247221,3498.9161462472202,0.9999999999999998,Central Equatoria
Morobo,SS0104,2,1308.941909121544,1308.9419091215443,1.0000000000000002,Central Equatoria
Terekeka,SS0105,2,10672.129966167615,10672.129966167611,0.9999999999999997,Central Equatoria
Yei,SS0106,2,6720.548022919335,6720.548022919332,0.9999999999999994,Central Equatoria
Budi,SS0201,2,5733.332609993283,5733.332609993281,0.9999999999999997,Eastern Equatoria
Ikotos,SS0202,2,3511.096911114111,3511.0969111141126,1.0000000000000004,Eastern Equatoria
Kapoeta East,SS0203,2,29562.91101222892,29562.911012228902,0.9999999999999993,Eastern Equatoria
Kapoeta North,SS0204,2,5733.141320180547,5733.141320180549,1.0000000000000002,Eastern Equatoria
Kapoeta South,SS0205,2,1200.2065692139415,1200.2065692139417,1.0000000000000002,Eastern Equatoria
Lafon,SS0206,2,16242.171972077307,16242.171972077309,1.0000000000000002,Eastern Equatoria
Magwi,SS0207,2,5200.662614613666,5200.662614613655,0.9999999999999979,Eastern Equatoria
Torit,SS0208,2,5838.570433831993,5838.570433831991,0.9999999999999997,Eastern Equatoria
Akobo,SS0301,2,9024.06750884834,9024.06750884834,1.0,Jonglei
Ayod,SS0302,2,13449.146530494223,13449.146530494234,1.0000000000000009,Jonglei
Bor South,SS0303,2,13962.835621765043,13962.835621765036,0.9999999999999994,Jonglei
Canal/Pigi,SS0304,2,4438.721624960883,4438.721624960884,1.0000000000000002,Jonglei
Duk,SS0305,2,6885.0769070612405,6885.076907061234,0.9999999999999991,Jonglei
Fangak,SS0306,2,7655.48650689537,7655.486506895365,0.9999999999999993,Jonglei
Nyirol,SS0307,2,7076.555087430134,7076.555087430131,0.9999999999999994,Jonglei
Pibor,SS0308,2,33049.9081153064,33049.90811530635,0.9999999999999984,Jonglei
Pochalla,SS0309,2,8261.133045747289,8261.133045747285,0.9999999999999996,Jonglei
Twic East,SS0310,2,5943.90021407257,5943.900214072564,0.9999999999999991,Jonglei
Uror,SS0311,2,12170.867611226007,12170.867611226015,1.0000000000000007,Jonglei
Awerial,SS0401,2,4528.660809676645,4528.660809676647,1.0000000000000004,Lakes
Cueibet,SS0402,2,4862.317617147142,4862.31761714714,0.9999999999999994,Lakes
Rumbek Centre,SS0403,2,3853.364343794307,3853.3643437943065,0.9999999999999999,Lakes
Rumbek East,SS0404,2,3566.7521069402787,3566.7521069402756,0.9999999999999991,Lakes
Rumbek North,SS0405,2,4103.892112316905,4103.892112316906,1.0000000000000002,Lakes
Wulu,SS0406,2,11843.532835792883,11843.532835792888,1.0000000000000004,Lakes
Yirol East,SS0407,2,5568.582837384008,5568.582837384007,0.9999999999999999,Lakes
Yirol West,SS0408,2,4858.704146264731,4858.704146264735,1.0000000000000007,Lakes
Aweil Centre,SS0501,2,11156.747654463801,11156.747654463801,1.0,Northern Bahr el Ghazal
Aweil East,SS0502,2,6367.533884287523,6367.533884287528,1.0000000000000009,Northern Bahr el Ghazal
Aweil North,SS0503,2,6342.814561658492,6342.814561658486,0.9999999999999991,Northern Bahr el Ghazal
Aweil South,SS0504,2,1976.8828578767423,1976.8828578767411,0.9999999999999994,Northern Bahr el Ghazal
Aweil West,SS0505,2,5007.851683831462,5007.851683831467,1.000000000000001,Northern Bahr el Ghazal
Abiemnhom,SS0601,2,2407.82705568818,2407.827055688181,1.0000000000000007,Unity
Guit,SS0602,2,3454.18127001544,3454.181270015443,1.0000000000000009,Unity
Koch,SS0603,2,4396.587595534725,4396.587595534721,0.9999999999999992,Unity
Leer,SS0604,2,1610.9414924891541,1610.9414924891562,1.0000000000000013,Unity
Mayendit,SS0605,2,3061.320976059672,3061.320976059672,1.0,Unity
Mayom,SS0606,2,4260.4175267544615,4260.41752675446,0.9999999999999996,Unity
Panyijiar,SS0607,2,5324.973174869481,5324.973174869477,0.9999999999999991,Unity
Pariang,SS0608,2,8978.794298911325,7065.907027979914,0.7869549955985351,Unity
Rubkona,SS0609,2,3563.8915030868716,3563.891503086872,1.0000000000000002,Unity
Baliet,SS0701,2,11675.847179005264,11502.951942592495,0.9851920606905803,Upper Nile
Fashoda,SS0702,2,3594.953375162151,1951.4714005470285,0.542836358888523,Upper Nile
Longochuk,SS0703,2,6928.066071591158,6928.066071591165,1.000000000000001,Upper Nile
Luakpiny/Nasir,SS0704,2,5185.765578903133,5185.765578903131,0.9999999999999997,Upper Nile
Maban,SS0705,2,11821.219347916538,5687.583097389139,0.48113336957845737,Upper Nile
Maiwut,SS0706,2,3686.2308692363836,3686.2308692363817,0.9999999999999996,Upper Nile
Malakal,SS0707,2,754.6804096396492,754.6804096396492,1.0,Upper Nile
Manyo,SS0708,2,6679.03131749763,0.0,0.0,Upper Nile
Melut,SS0709,2,6941.449726009841,351.43891498799127,0.0506290369965712,Upper Nile
Panyikang,SS0710,2,5110.313116826418,5110.313116826421,1.0000000000000004,Upper Nile
Renk,SS0711,2,10024.098087050028,0.0,0.0,Upper Nile
Ulang,SS0712,2,4833.588756014294,4833.588756014291,0.9999999999999994,Upper Nile
Gogrial East,SS0801,2,4424.8019085417,4424.801908541697,0.9999999999999993,Warrap
Gogrial West,SS0802,2,4401.062592548337,4401.062592548336,0.9999999999999998,Warrap
Tonj East,SS0803,2,4421.410745894297,4421.410745894295,0.9999999999999996,Warrap
Tonj North,SS0804,2,11227.83028851793,11227.830288517922,0.9999999999999993,Warrap
Tonj South,SS0805,2,7423.305936172751,7423.3059361727555,1.0000000000000007,Warrap
Twic,SS0806,2,3957.0644583018243,3957.064458301821,0.9999999999999992,Warrap
Abyei Region,SS0001,2,10495.850579184209,8138.150254935567,0.7753683413782083,Abyei Region
Jur River,SS0901,2,10048.227087981024,10048.227087981022,0.9999999999999998,Western Bahr el Ghazal
Raja,SS0902,2,62010.5687254955,57719.580807033715,0.9308023131112237,Western Bahr el Ghazal
Wau,SS0903,2,19212.827540004448,19212.827540004444,0.9999999999999998,Western Bahr el Ghazal
Ezo,SS1001,2,8072.410791016016,8072.41079101602,1.0000000000000004,Western Equatoria
Ibba,SS1002,2,9608.026985219294,9608.026985219292,0.9999999999999998,Western Equatoria
Maridi,SS1003,2,7681.283576777505,7681.283576777511,1.0000000000000009,Western Equatoria
Mundri East,SS1004,2,5079.771668140435,5079.771668140437,1.0000000000000004,Western Equatoria
Mundri West,SS1005,2,5872.937302610929,5872.93730261093,1.0000000000000002,Western Equatoria
Mvolo,SS1006,2,5710.890897257062,5710.890897257066,1.0000000000000009,Western Equatoria
Nagero,SS1007,2,9196.816491680012,9196.81649168001,0.9999999999999998,Western Equatoria
Nzara,SS1008,2,6444.071090430799,6444.071090430788,0.9999999999999983,Western Equatoria
Tambura,SS1009,2,12454.9115037103,12454.911503710278,0.9999999999999982,Western Equatoria
Yambio,SS1010,2,8792.087711904347,8792.08771190435,1.0000000000000004,Western Equatoria
