lag_months,correlation,n_months
0,0.4518092525534331,120
1,0.4735979228990916,119
2,0.4653680393650851,118
3,0.43720483363885637,117
4,0.40414743465453734,116
5,0.37566471470996654,115
6,0.3524106400744353,114
7,0.3379092240084638,113
8,0.3417959685166658,112
9,0.3646959578085765,111
10,0.40997913618421833,110
11,0.4701327126295759,109
12,0.5245952006756691,108
