lag_months,correlation,n_months
0,-0.77923397851407,120
1,-0.7839860960943307,119
2,-0.6948261574750229,118
3,-0.5620269135926391,117
4,-0.42530154218305694,116
5,-0.32026994325714325,115
6,-0.2613916242737577,114
7,-0.25048574875863766,113
8,-0.2650936276118811,112
9,-0.3416672199769392,111
10,-0.4652761477710585,110
11,-0.6134129571033522,109
12,-0.6986782672009819,108
