lead,fold,test_years,brier_raw,brier_calibrated,brier_persistence,brier_climatology,bss_vs_best_baseline
3,5,2018-2019,0.0318973199424163,0.0025324106143471,0.0039286697001422,0.0028263246231788,0.10399159616036313
3,6,2020-2021,0.0404301974815619,0.012998646164868,0.015756691095541,0.0150987571073192,0.13909164360509907
3,7,2022-2023,0.0717100740629679,0.0239226176322434,0.0260865983463531,0.0484844538168509,0.08295373300030995
3,8,2024-2025,0.0503731304378832,0.0174946494883426,0.0235817494832353,0.0440718478716569,0.25812758290983173
6,5,2018-2019,0.0268738737636186,0.0026787186557011,0.0045031677001959,0.0028274585272797,0.052605500715054876
6,6,2020-2021,0.0487069115589627,0.0149015961874956,0.02154068011597,0.0151001933530829,0.013151961762579267
6,7,2022-2023,0.0852409255660277,0.0321752199655053,0.0361724517462618,0.0484854313910414,0.11050486178807573
6,8,2024-2025,0.0772546423709888,0.0216237833704257,0.031188374137607,0.0440732239124289,0.30667166954523284
