year_month,discharge_mean_m3_s,flood_pixel_count,observation_days
2010-07-01,5278.23235510145,62493.0,31
2010-08-01,5414.450292981801,26754.0,31
2010-09-01,5460.534329802941,37369.0,30
2010-10-01,5274.186552356923,60511.0,31
2010-11-01,5345.818841035768,77954.0,30
2010-12-01,5338.602167018078,72995.0,31
2011-01-01,5497.318528749364,110560.0,31
2011-02-01,5576.850180743441,46214.0,28
2011-03-01,5567.725483850219,7671.0,31
2011-04-01,5558.500940653836,3201.0,30
2011-05-01,5427.092406247872,3418.0,31
2011-06-01,5279.119771500683,830.0,30
2011-07-01,5445.078352308863,1406.0,31
2011-08-01,5609.641745514726,1922.0,31
2011-09-01,5521.3243209566135,3884.0,30
2011-10-01,5628.889136647318,8314.0,31
2011-11-01,5585.111150926713,24419.0,30
2011-12-01,5692.301577845216,109884.0,31
2012-01-01,5768.686840038639,58449.0,31
2012-02-01,5642.189588355995,12892.0,29
2012-03-01,5712.514539254774,2671.0,31
2012-04-01,5789.665309392561,4530.0,30
2012-05-01,5405.684299471724,7308.0,31
2012-06-01,5099.373866869786,2602.0,30
2012-07-01,5214.199989474751,3498.0,31
2012-08-01,5272.165359385643,5399.0,31
2012-09-01,5370.050266150186,5320.0,30
2012-10-01,5471.673291744944,23215.0,31
2012-11-01,5576.144373924011,54424.0,30
2012-12-01,5723.353964336443,355911.0,31
2013-01-01,5749.429234203627,274026.0,31
2013-02-01,5863.049670251391,43875.0,28
2013-03-01,5850.841077469936,7772.0,31
2013-04-01,5699.617200191821,6796.0,30
2013-05-01,5335.717334260575,5309.0,31
2013-06-01,5103.931080237524,1838.0,30
2013-07-01,5260.044941155582,766.0,31
2013-08-01,5440.492814542555,4437.0,31
2013-09-01,5427.917799485817,36843.0,30
2013-10-01,5521.4450052726,176908.0,31
2013-11-01,5610.886080719365,168127.0,30
2013-12-01,5575.578358578719,176377.0,31
2014-01-01,5670.105589759407,268566.0,31
2014-02-01,5700.170634859288,122284.0,28
2014-03-01,5640.952602942658,15415.0,31
2014-04-01,5205.182878749559,6907.0,30
2014-05-01,5503.447825546707,14774.0,31
2014-06-01,5371.853027913966,2967.0,30
2014-07-01,5554.035867883399,7670.0,31
2014-08-01,5490.537550305344,6315.0,31
2014-09-01,5518.12854374191,28672.0,30
2014-10-01,5645.477408140602,122162.0,31
2014-11-01,5578.9275723431665,282921.0,30
2014-12-01,5623.571795084926,470066.0,31
2015-01-01,5670.020347830938,753365.0,31
2015-02-01,5698.347070789451,405201.0,28
2015-03-01,5678.1484687767825,24346.0,31
2015-04-01,5643.342779983645,8032.0,30
2015-05-01,5362.335407185962,11241.0,31
2015-06-01,5548.758188750724,5214.0,30
2015-07-01,5519.9008390775325,6135.0,31
2015-08-01,5557.39348753136,12874.0,31
2015-09-01,5556.212010671579,18672.0,30
2015-10-01,5444.7366677256805,9843.0,31
2015-11-01,5507.5597883957425,53578.0,30
2015-12-01,5557.093943359165,114055.0,31
2016-01-01,5715.5041355730955,135496.0,31
2016-02-01,5783.484939437209,60259.0,29
2016-03-01,5720.629193682026,5972.0,31
2016-04-01,5682.774775417247,4700.0,30
2016-05-01,5633.528113090025,41591.0,31
2016-06-01,5558.91967848837,8986.0,30
2016-07-01,5413.3507267814175,12539.0,31
2016-08-01,5571.051037635926,68388.0,31
2016-09-01,5468.288577097384,17248.0,30
2016-10-01,5554.533388917351,31795.0,31
2016-11-01,5604.522289874895,52867.0,30
2016-12-01,5768.604786552114,168461.0,31
2017-01-01,5727.236270563617,176860.0,31
2017-02-01,5762.510130402944,27043.0,28
2017-03-01,5775.2517721711,8796.0,31
2017-04-01,5692.246997077952,3211.0,30
2017-05-01,5421.112141017317,9564.0,31
2017-06-01,5169.772870715229,2244.0,30
2017-07-01,5574.415261428996,2387.0,31
2017-08-01,5463.209943738825,3044.0,31
2017-09-01,5261.310515264405,54486.0,30
2017-10-01,5253.294283018709,51309.0,31
2017-11-01,5265.035212964348,40180.0,30
2017-12-01,5539.767295768964,93733.0,31
2018-01-01,5718.012331694539,194201.0,31
2018-02-01,5745.071676748302,56775.0,28
2018-03-01,5694.220797407562,12736.0,31
2018-04-01,5700.117543306543,10591.0,30
2018-05-01,5553.915360815423,19579.0,31
2018-06-01,5323.1329336226645,7199.0,30
2018-07-01,5418.537176027824,6816.0,31
2018-08-01,5396.635708771805,9975.0,31
2018-09-01,5570.30023875948,12942.0,30
2018-10-01,5626.967958045698,16347.0,31
2018-11-01,5673.834770616912,31210.0,30
2018-12-01,5814.494736446762,94617.0,31
2019-01-01,5909.895590416835,58815.0,31
2019-02-01,5875.437079652383,12401.0,28
2019-03-01,5903.643876189891,8278.0,31
2019-04-01,5874.59477690792,3548.0,30
2019-05-01,5392.350273870971,4872.0,31
2019-06-01,5285.612032822517,10316.0,30
2019-07-01,5621.098419784266,2314.0,31
2019-08-01,5739.621412462001,1656.0,31
2019-09-01,5846.52455388669,5917.0,30
2019-10-01,5707.5325608020175,35011.0,31
2019-11-01,5690.470930445655,137324.0,30
2019-12-01,5661.560956698196,192065.0,31
2020-01-01,5790.099587300796,681779.0,31
2020-02-01,5791.934407341324,581318.0,29
2020-03-01,5799.5313357577415,145389.0,31
2020-04-01,5779.625564926181,8827.0,30
2020-05-01,5469.683719263995,11716.0,31
2020-06-01,5260.9057957197465,9096.0,30
2020-07-01,5160.30052803092,3323.0,31
2020-08-01,5429.028585406185,5235.0,31
2020-09-01,5528.411320077285,42129.0,30
2020-10-01,5490.898381292419,105988.0,31
2020-11-01,5453.112996590626,354068.0,30
2020-12-01,5565.323140603741,537327.0,31
2021-01-01,5248.054336017217,788769.0,31
2021-02-01,4960.042713067182,583330.0,28
2021-03-01,5071.410001609044,174574.0,31
2021-04-01,5493.379639990077,45634.0,30
2021-05-01,5141.125049879891,35075.0,31
2021-06-01,5371.71636244451,9831.0,30
2021-07-01,5656.272428216513,10420.0,31
2021-08-01,5465.4517220808875,81452.0,31
2021-09-01,5245.328125167726,63445.0,30
2021-10-01,4581.227441047598,370326.0,31
2021-11-01,4157.665144800214,633514.0,30
2021-12-01,3902.516247877565,802073.0,31
2022-01-01,4205.437585609321,1031733.0,31
2022-02-01,4290.776727325142,1215389.0,28
2022-03-01,5186.029832658686,646696.0,31
2022-04-01,5293.2071286892715,150734.0,30
2022-05-01,5012.90769228445,164996.0,31
2022-06-01,5009.089137135055,130323.0,30
2022-07-01,4924.286055562928,93107.0,31
2022-08-01,4709.239788374621,136042.0,31
2022-09-01,4237.184150655896,287229.0,30
2022-10-01,3646.8209516383336,606222.0,31
2022-11-01,3349.298504686083,1679176.0,30
