year_month,discharge_mean_m3_s,flood_pixel_count,observation_days,year
2025-02-01,4630.263679692701,1413126.0,28,2025
2025-03-01,4775.396566729719,1047391.0,31,2025
2025-04-01,5065.4477398795225,448843.0,30,2025
2025-05-01,5220.238643564951,446135.0,31,2025
2025-06-01,5063.304580329563,322187.0,30,2025
2025-07-01,5041.667332110913,178121.0,31,2025
2025-08-01,5431.200883042399,93993.0,31,2025
2025-09-01,5145.75455251985,127457.0,30,2025
2025-10-01,4618.66103165095,423540.0,31,2025
2025-11-01,3811.3562157306615,1144216.0,30,2025
2025-12-01,4506.019470921601,1406232.0,31,2025
