year,date,tile,flood_type,flood_type_label,flooded_pixel_count,min_latitude,max_latitude,min_longitude,max_longitude
2000,2000-03-27,h20v08,0,recurring,4,1.0760417,1.596875,23.226042,23.751041
2000,2000-03-27,h20v08,1,unusual,3,0.5552083,1.0760417,23.748959,24.238543
2000,2000-03-27,h21v08,0,recurring,162,0.60520834,9.590625,35.901043,38.89896
2000,2000-03-27,h21v08,1,unusual,43,0.6010417,9.482291,34.963543,38.786457
2000,2000-03-28,h21v08,0,recurring,172,0.62395835,9.588542,33.384377,38.90521
2000,2000-03-28,h21v08,1,unusual,195,0.14479166,9.588542,32.857292,38.95729
2000,2000-03-29,h20v08,0,recurring,4,8.946875,8.967709,28.584375,28.594791
2000,2000-03-29,h20v08,1,unusual,10,8.642709,8.896875,29.167707,29.336458
2000,2000-03-29,h21v08,0,recurring,264,0.6177083,9.515625,30.248959,39.04271
2000,2000-03-29,h21v08,1,unusual,32,0.184375,9.488542,30.605207,38.95729
2000,2000-03-30,h20v08,0,recurring,7,8.671875,8.967709,28.582293,29.313541
2000,2000-03-30,h20v08,1,unusual,13,8.642709,8.961458,28.601042,29.336458
2000,2000-03-30,h21v08,0,recurring,88,0.6177083,9.515625,30.248959,39.046875
2000,2000-03-30,h21v08,1,unusual,42,7.3802085,9.517709,30.280209,39.86354
2000,2000-03-31,h20v08,0,recurring,3,8.946875,8.963542,28.582293,28.594791
2000,2000-03-31,h21v08,0,recurring,57,1.4010416,9.515625,30.248959,36.303123
2000,2000-03-31,h21v08,1,unusual,26,6.6677084,9.501041,30.282291,38.853127
2000,2000-04-01,h21v08,0,recurring,26,1.2927083,7.944792,30.365625,32.73021
2000,2000-04-01,h21v08,1,unusual,81,6.1989584,8.040625,30.296875,31.501041
2000,2000-04-02,h21v08,0,recurring,48,1.2072917,9.586458,30.590626,37.31146
2000,2000-04-02,h21v08,1,unusual,172,0.33229166,9.559375,30.555208,37.315624
2000,2000-04-03,h21v08,0,recurring,37,0.096875,9.553125,32.709373,37.31146
2000,2000-04-03,h21v08,1,unusual,135,2.2697916,9.559375,32.078125,37.315624
2000,2000-04-04,h21v08,0,recurring,50,0.628125,8.855208,35.923958,39.838543
2000,2000-04-04,h21v08,1,unusual,135,0.703125,8.873959,35.942707,39.861458
2000,2000-04-05,h21v08,0,recurring,15,0.6177083,8.078125,35.921875,38.857292
2000,2000-04-05,h21v08,1,unusual,8,0.621875,6.409375,36.03229,38.098957
2000,2000-04-06,h20v08,0,recurring,5,8.951041,8.967709,28.582293,28.594791
2000,2000-04-06,h21v08,0,recurring,1,2.7864583,2.7864583,36.39896,36.39896
2000,2000-04-07,h20v08,0,recurring,6,8.209375,8.969791,28.582293,29.973959
2000,2000-04-07,h20v08,1,unusual,10,8.248959,8.969791,28.601042,29.973959
2000,2000-04-07,h21v08,0,recurring,155,1.634375,9.513541,30.282291,36.403126
2000,2000-04-07,h21v08,1,unusual,63,4.7010417,9.505208,30.278126,39.528126
2000,2000-04-08,h20v08,0,recurring,5,8.671875,8.969791,28.582293,29.313541
2000,2000-04-08,h20v08,1,unusual,9,8.642709,8.896875,29.167707,29.336458
2000,2000-04-08,h21v08,0,recurring,38,6.984375,9.519792,30.282291,30.880209
2000,2000-04-08,h21v08,1,unusual,105,6.890625,9.496875,30.278126,31.065624
2000,2000-04-09,h21v08,0,recurring,25,1.303125,9.515625,30.388542,39.838543
2000,2000-04-09,h21v08,1,unusual,33,1.3822917,9.515625,30.382292,39.473957
2000,2000-04-10,h20v08,1,unusual,1,8.953125,8.953125,28.580208,28.580208
2000,2000-04-10,h21v08,0,recurring,9,1.303125,7.632292,30.490625,33.630207
2000,2000-04-10,h21v08,1,unusual,10,1.328125,7.6989584,30.582293,33.590626
2000,2000-04-11,h21v08,0,recurring,53,1.303125,9.590625,30.953125,38.771873
2000,2000-04-11,h21v08,1,unusual,164,0.578125,9.555208,33.090626,37.296875
2000,2000-04-12,h21v08,0,recurring,76,0.094791666,9.590625,32.942707,38.78021
2000,2000-04-12,h21v08,1,unusual,193,0.044791665,9.603125,31.919792,38.46771
2000,2000-04-13,h21v08,0,recurring,60,0.190625,9.553125,33.923958,38.89896
2000,2000-04-13,h21v08,1,unusual,103,0.6010417,9.540625,35.865623,38.955208
2000,2000-04-14,h21v08,0,recurring,70,0.609375,9.492708,30.657291,38.853127
2000,2000-04-14,h21v08,1,unusual,52,0.603125,7.7989583,30.546875,39.46979
2000,2000-04-15,h21v08,0,recurring,13,6.523958,7.953125,37.826042,38.853127
2000,2000-04-15,h21v08,1,unusual,6,6.538542,7.6760416,37.83646,38.713543
2000,2000-04-16,h21v08,0,recurring,2,5.842708,6.5510416,37.51146,37.84479
2000,2000-04-16,h21v08,1,unusual,10,5.771875,8.046875,30.840626,39.92604
2000,2000-04-17,h21v08,0,recurring,1,9.503125,9.503125,30.486458,30.486458
2000,2000-04-17,h21v08,1,unusual,9,2.9447916,9.513541,30.494791,32.826042
2000,2000-04-18,h21v08,0,recurring,30,1.3010417,9.590625,30.611458,37.236458
2000,2000-04-18,h21v08,1,unusual,218,1.221875,7.846875,30.603125,36.20729
2000,2000-04-19,h21v08,0,recurring,54,1.2135416,7.8614583,32.669792,36.173958
2000,2000-04-19,h21v08,1,unusual,221,1.303125,9.594791,30.309376,37.23854
2000,2000-04-20,h21v08,0,recurring,128,0.665625,7.8614583,33.723957,38.517708
2000,2000-04-20,h21v08,1,unusual,257,0.6010417,5.873958,33.59271,37.517708
2000,2000-04-21,h21v08,0,recurring,242,0.609375,9.694792,33.723957,39.838543
2000,2000-04-21,h21v08,1,unusual,259,0.6010417,8.888541,33.59271,39.903126
2000,2000-04-22,h21v08,0,recurring,122,0.609375,8.065625,35.86354,38.869793
2000,2000-04-22,h21v08,1,unusual,110,0.6010417,6.5427084,35.857292,37.83646
2000,2000-04-23,h21v08,0,recurring,34,0.27604166,7.9427085,30.594791,38.869793
2000,2000-04-23,h21v08,1,unusual,63,0.60729164,4.821875,35.959373,38.00104
2000,2000-04-24,h20v08,0,recurring,4,1.9322916,1.996875,20.082293,20.505209
2000,2000-04-24,h20v08,1,unusual,6,1.928125,2.003125,20.148958,20.432291
2000,2000-04-24,h21v08,0,recurring,1,1.0364584,1.0364584,30.594791,30.594791
2000,2000-04-24,h21v08,1,unusual,1,2.0302083,2.0302083,31.109375,31.109375
2000,2000-04-25,h20v08,0,recurring,2,1.9385417,1.9572917,20.336458,20.419792
2000,2000-04-25,h20v08,1,unusual,2,1.9864583,1.9864583,20.321875,20.323957
2000,2000-04-25,h21v08,1,unusual,4,0.21979167,3.578125,31.469791,33.553123
2000,2000-05-01,h20v08,0,recurring,8,8.246875,8.969791,28.590626,29.973959
2000,2000-05-01,h20v08,1,unusual,8,8.248959,8.986459,28.776041,29.982292
2000,2000-05-01,h21v08,0,recurring,53,0.609375,9.513541,30.394793,38.89896
2000,2000-05-01,h21v08,1,unusual,45,0.6010417,9.513541,30.396875,36.07396
2000,2000-05-02,h20v08,0,recurring,3,8.246875,8.969791,28.590626,29.973959
2000,2000-05-02,h20v08,1,unusual,2,8.248959,8.971875,28.596874,29.973959
2000,2000-05-02,h21v08,0,recurring,37,0.60729164,9.513541,30.361458,36.084373
2000,2000-05-02,h21v08,1,unusual,58,0.6010417,9.513541,30.298958,36.07396
2000,2000-05-03,h21v08,0,recurring,13,1.6572917,7.8010416,30.544792,32.42604
2000,2000-05-03,h21v08,1,unusual,23,7.498958,7.876042,30.503124,30.696875
2000,2000-05-04,h20v08,0,recurring,1,1.9197917,1.9197917,20.165625,20.165625
2000,2000-05-04,h21v08,0,recurring,29,0.034375,1.809375,32.265625,33.68021
2000,2000-05-04,h21v08,1,unusual,21,1.303125,1.840625,32.871876,33.621876
2000,2000-05-05,h20v08,0,recurring,2,2.215625,4.2697916,21.396875,22.111458
2000,2000-05-05,h20v08,1,unusual,1,1.3427083,1.3427083,24.351042,24.351042
2000,2000-05-05,h21v08,0,recurring,45,0.034375,9.467709,31.321875,37.205208
2000,2000-05-05,h21v08,1,unusual,32,0.055208333,9.421875,31.109375,37.22604
2000,2000-05-06,h20v08,0,recurring,2,1.8114583,2.134375,22.523958,23.044792
2000,2000-05-06,h20v08,1,unusual,2,2.134375,4.2760415,21.461458,21.678125
2000,2000-05-06,h21v08,0,recurring,14,0.20520833,1.8572917,32.490623,36.286457
2000,2000-05-06,h21v08,1,unusual,7,0.059375,4.467708,33.109375,38.234375
2000,2000-05-07,h21v08,0,recurring,107,0.27604166,8.855208,33.06354,39.88229
2000,2000-05-07,h21v08,1,unusual,56,0.25520834,8.884375,33.78229,39.86354
2000,2000-05-08,h21v08,0,recurring,33,0.221875,8.878125,36.084373,39.896873
2000,2000-05-08,h21v08,1,unusual,27,4.467708,8.436459,35.996876,38.96979
2000,2000-05-09,h21v08,0,recurring,264,0.609375,8.878125,30.553125,39.896873
2000,2000-05-09,h21v08,1,unusual,45,0.021875,8.882292,31.503124,39.857292
2000,2000-05-10,h21v08,0,recurring,1,8.876041,8.876041,39.857292,39.857292
2000,2000-05-10,h21v08,1,unusual,1,8.882292,8.882292,39.857292,39.857292
2000,2000-05-12,h21v08,0,recurring,4,1.715625,2.265625,31.653126,32.77396
2000,2000-05-13,h21v08,0,recurring,28,1.321875,8.055208,35.903126,38.89896
2000,2000-05-13,h21v08,1,unusual,1,3.5114584,3.5114584,35.89479,35.89479
2000,2000-05-14,h21v08,0,recurring,75,0.203125,8.330209,35.869793,39.078125
2000,2000-05-14,h21v08,1,unusual,29,0.21354167,8.971875,36.03229,38.307293
2000,2000-05-15,h20v08,0,recurring,1,1.103125,1.103125,23.709375,23.709375
2000,2000-05-15,h21v08,0,recurring,317,0.22604166,9.398958,35.830208,38.90521
2000,2000-05-15,h21v08,1,unusual,61,0.21770833,8.882292,35.857292,39.857292
2000,2000-05-16,h21v08,0,recurring,413,0.08645833,9.498959,33.317707,38.896873
2000,2000-05-16,h21v08,1,unusual,90,0.6010417,9.538542,33.290627,39.857292
2000,2000-05-17,h21v08,0,recurring,9,6.0052085,8.867708,37.62396,39.838543
2000,2000-05-17,h21v08,1,unusual,6,6.569792,8.098958,37.85521,38.790627
2000,2000-05-18,h21v08,0,recurring,19,1.0989584,7.678125,30.509375,38.753124
2000,2000-05-18,h21v08,1,unusual,43,0.153125,7.021875,30.671875,38.50729
2000,2000-05-19,h20v08,0,recurring,3,1.940625,2.053125,20.036459,20.926043
2000,2000-05-19,h20v08,1,unusual,1,2.0302083,2.0302083,20.609375,20.609375
2000,2000-05-19,h21v08,0,recurring,18,0.071875,2.159375,30.484375,32.971874
2000,2000-05-19,h21v08,1,unusual,5,1.521875,7.021875,30.517708,31.142708
2000,2000-05-20,h20v08,0,recurring,4,1.940625,4.2947917,20.036459,21.769793
2000,2000-05-20,h21v08,0,recurring,67,0.08020833,9.548959,30.421875,37.192707
2000,2000-05-20,h21v08,1,unusual,90,0.18020834,9.488542,30.661459,37.14896
2000,2000-05-21,h20v08,0,recurring,7,1.1135417,4.2947917,20.026041,22.523958
2000,2000-05-21,h20v08,1,unusual,2,1.9864583,3.7135417,20.321875,24.196875
2000,2000-05-21,h21v08,0,recurring,71,0.08020833,9.548959,30.421875,37.21771
2000,2000-05-21,h21v08,1,unusual,86,0.036458332,9.565625,30.653126,37.234375
2000,2000-05-22,h20v08,0,recurring,15,1.1135417,2.209375,20.026041,22.886457
2000,2000-05-22,h20v08,1,unusual,3,1.9510417,4.2947917,21.090626,24.196875
2000,2000-05-22,h21v08,0,recurring,303,0.046875,9.586458,31.913542,38.91771
2000,2000-05-22,h21v08,1,unusual,87,0.684375,9.565625,33.388542,38.953125
2000,2000-05-23,h21v08,0,recurring,366,0.040625,9.586458,31.915625,38.90521
2000,2000-05-23,h21v08,1,unusual,107,0.13229166,9.544791,32.965626,38.953125
2000,2000-05-24,h20v08,0,recurring,1,1.128125,1.128125,23.661459,23.661459
2000,2000-05-24,h21v08,0,recurring,94,1.409375,9.492708,35.857292,38.90521
2000,2000-05-24,h21v08,1,unusual,32,0.6010417,4.528125,35.861458,36.173958
2000,2000-05-25,h21v08,0,recurring,107,1.409375,9.551042,36.28229,38.755207
2000,2000-05-25,h21v08,1,unusual,32,0.5885417,4.528125,35.986458,36.173958
2000,2000-05-27,h21v08,0,recurring,12,0.08020833,1.9385417,30.994791,33.88229
2000,2000-05-27,h21v08,1,unusual,1,1.7822917,1.7822917,33.00729,33.00729
2000,2000-05-28,h20v08,0,recurring,1,2.184375,2.184375,22.376041,22.376041
2000,2000-05-28,h21v08,0,recurring,13,0.10104167,3.4114583,30.994791,33.915627
2000,2000-05-28,h21v08,1,unusual,1,0.36770833,0.36770833,31.992708,31.992708
2000,2000-06-01,h20v08,0,recurring,4,0.34895834,1.121875,23.690624,25.390625
2000,2000-06-01,h20v08,1,unusual,1,1.671875,1.671875,26.657291,26.657291
2000,2000-06-01,h21v08,0,recurring,169,0.609375,9.521875,33.234375,38.89479
2000,2000-06-01,h21v08,1,unusual,75,0.6010417,9.438541,33.396873,39.86354
2000,2000-06-02,h20v08,0,recurring,3,0.553125,2.1322916,22.478125,25.051043
2000,2000-06-02,h20v08,1,unusual,1,3.5364583,3.5364583,25.369791,25.369791
2000,2000-06-02,h21v08,0,recurring,14,0.609375,8.034375,30.790625,38.89479
2000,2000-06-02,h21v08,1,unusual,3,0.6010417,8.882292,30.792707,39.857292
2000,2000-06-03,h21v08,0,recurring,11,0.21979167,6.5489583,31.398958,37.84479
2000,2000-06-03,h21v08,1,unusual,9,0.048958335,6.3552084,31.298958,32.98854
2000,2000-06-04,h21v08,0,recurring,5,0.078125,6.2010417,31.398958,32.40729
2000,2000-06-04,h21v08,1,unusual,6,1.2614583,6.203125,30.463541,31.486458
2000,2000-06-05,h21v08,0,recurring,68,0.013541667,9.534375,31.544792,37.27396
2000,2000-06-05,h21v08,1,unusual,55,0.07604167,9.434375,32.71146,37.15729
2000,2000-06-06,h20v08,0,recurring,1,2.146875,2.146875,22.034374,22.034374
2000,2000-06-06,h21v08,0,recurring,72,0.013541667,9.482291,31.321875,37.213543
2000,2000-06-06,h21v08,1,unusual,70,0.042708334,9.434375,30.298958,37.15729
2000,2000-06-07,h20v08,1,unusual,1,2.1947916,2.1947916,21.836458,21.836458
2000,2000-06-07,h21v08,0,recurring,101,0.10729167,9.571875,32.56146,38.853127
2000,2000-06-07,h21v08,1,unusual,66,0.60520834,9.490625,35.946877,37.171875
2000,2000-06-08,h21v08,0,recurring,56,0.18854167,9.484375,33.49896,38.896873
2000,2000-06-08,h21v08,1,unusual,68,0.6010417,8.065625,35.946877,38.84271
2000,2000-06-09,h21v08,0,recurring,5,4.1385417,6.211458,35.93021,37.80521
2000,2000-06-09,h21v08,1,unusual,31,0.6010417,4.476042,35.982292,36.084373
2000,2000-06-10,h21v08,0,recurring,48,0.20520833,6.163542,36.071877,37.709373
2000,2000-06-10,h21v08,1,unusual,20,0.6010417,4.476042,35.984375,36.084373
2000,2000-06-14,h20v08,0,recurring,4,1.9447917,2.1510417,20.665625,22.905209
2000,2000-06-14,h20v08,1,unusual,3,1.9947916,2.1760416,20.682291,21.932291
2000,2000-06-14,h21v08,0,recurring,183,0.609375,9.569792,32.74271,38.753124
2000,2000-06-14,h21v08,1,unusual,56,0.10104167,9.415625,33.41354,37.171875
2000,2000-06-15,h21v08,0,recurring,173,0.60729164,9.419791,32.619793,38.896873
2000,2000-06-15,h21v08,1,unusual,79,0.6010417,9.415625,33.580208,37.171875
2000,2000-06-16,h20v08,1,unusual,1,2.0052083,2.0052083,20.613543,20.613543
2000,2000-06-16,h21v08,0,recurring,148,0.609375,9.680208,33.64479,38.869793
2000,2000-06-16,h21v08,1,unusual,74,0.6010417,9.480208,35.93854,37.171875
2000,2000-06-17,h20v08,0,recurring,2,0.5697917,8.969791,24.819792,28.592709
2000,2000-06-17,h20v08,1,unusual,1,8.982291,8.982291,28.786459,28.786459
2000,2000-06-17,h21v08,0,recurring,142,0.609375,9.590625,30.394793,38.869793
2000,2000-06-17,h21v08,1,unusual,79,0.684375,9.898958,35.959373,38.955208
2000,2000-06-18,h20v08,0,recurring,1,0.5697917,0.5697917,24.819792,24.819792
2000,2000-06-18,h20v08,1,unusual,1,8.982291,8.982291,28.786459,28.786459
2000,2000-06-18,h21v08,0,recurring,111,0.28020832,9.521875,30.394793,38.890625
2000,2000-06-18,h21v08,1,unusual,8,7.5177083,9.505208,30.398958,38.746876
2000,2000-06-19,h21v08,0,recurring,99,1.3989583,8.019792,30.553125,38.753124
2000,2000-06-19,h21v08,1,unusual,17,1.103125,8.882292,30.428125,39.857292
2000,2000-06-20,h21v08,0,recurring,9,1.5322917,7.934375,30.559376,31.223959
2000,2000-06-20,h21v08,1,unusual,40,1.265625,8.555208,30.426043,32.96771
2000,2000-06-21,h21v08,0,recurring,14,1.459375,9.419791,30.730207,37.173958
2000,2000-06-21,h21v08,1,unusual,61,1.7739583,9.421875,30.701042,37.171875
2000,2000-06-22,h21v08,0,recurring,11,1.503125,9.419791,33.090626,37.192707
2000,2000-06-22,h21v08,1,unusual,35,1.6552083,9.421875,33.43646,37.171875
2000,2000-06-23,h21v08,0,recurring,84,2.865625,9.730208,36.340626,38.896873
2000,2000-06-23,h21v08,1,unusual,37,0.60729164,9.726042,33.58646,38.771873
2000,2000-06-24,h21v08,0,recurring,71,0.096875,9.588542,33.54271,38.619793
2000,2000-06-24,h21v08,1,unusual,13,2.8572917,9.523958,36.36354,38.46146
2000,2000-06-25,h21v08,0,recurring,15,8.851042,9.590625,37.159374,39.838543
2000,2000-06-25,h21v08,1,unusual,1,9.592709,9.592709,37.236458,37.236458
2000,2000-06-26,h21v08,0,recurring,5,9.407291,9.411458,37.159374,37.173958
2000,2000-06-26,h21v08,1,unusual,1,9.559375,9.559375,37.205208,37.205208
2000,2000-06-30,h21v08,0,recurring,6,0.094791666,7.5114584,33.111458,38.49271
2000,2000-06-30,h21v08,1,unusual,9,0.6010417,6.203125,31.476042,36.084373
2000,2000-07-01,h21v08,0,recurring,19,0.094791666,7.5114584,33.111458,38.49271
2000,2000-07-01,h21v08,1,unusual,12,0.6010417,1.6635417,33.465626,36.084373
2000,2000-07-02,h21v08,0,recurring,74,0.17395833,4.2989583,33.171875,36.315624
2000,2000-07-02,h21v08,1,unusual,33,0.015625,8.388541,33.25729,38.951042
2000,2000-07-03,h21v08,0,recurring,90,0.171875,8.055208,33.253124,38.77396
2000,2000-07-03,h21v08,1,unusual,18,0.17395833,8.388541,33.557293,38.953125
2000,2000-07-04,h21v08,0,recurring,1,8.055208,8.055208,38.77396,38.77396
2000,2000-07-04,h21v08,1,unusual,3,0.6010417,8.051042,36.05521,38.771873
2000,2000-07-05,h21v08,0,recurring,1,1.1385417,1.1385417,30.686459,30.686459
2000,2000-07-05,h21v08,1,unusual,2,0.6010417,0.603125,36.07396,36.07396
2000,2000-07-06,h20v08,0,recurring,1,4.280208,4.280208,21.609375,21.609375
2000,2000-07-06,h21v08,0,recurring,2,0.051041666,0.051041666,30.251041,30.253124
2000,2000-07-06,h21v08,1,unusual,1,1.8239583,1.8239583,32.90521,32.90521
2000,2000-07-07,h21v08,0,recurring,24,0.051041666,3.890625,30.251041,35.859375
2000,2000-07-07,h21v08,1,unusual,9,1.2197917,1.4864583,32.990623,33.590626
2000,2000-07-08,h20v08,0,recurring,1,4.415625,4.415625,20.984375,20.984375
2000,2000-07-08,h21v08,0,recurring,19,1.196875,4.1385417,33.009377,35.93021
2000,2000-07-08,h21v08,1,unusual,42,1.290625,4.501042,33.10104,36.065624
2000,2000-07-09,h20v08,0,recurring,1,4.4427085,4.4427085,20.946875,20.946875
2000,2000-07-09,h21v08,0,recurring,166,0.240625,4.265625,33.10521,36.328125
2000,2000-07-09,h21v08,1,unusual,42,0.19270833,4.538542,32.590626,36.065624
2000,2000-07-10,h21v08,1,unusual,10,4.465625,4.546875,35.959373,36.203125
2000,2000-07-11,h21v08,0,recurring,2,0.709375,0.709375,36.053123,36.05521
2000,2000-07-11,h21v08,1,unusual,5,4.467708,4.546875,35.986458,36.128124
2000,2000-07-12,h21v08,0,recurring,3,0.609375,7.967708,36.080208,38.74271
2000,2000-07-12,h21v08,1,unusual,4,0.70520836,4.498958,35.986458,36.065624
2000,2000-07-13,h21v08,0,recurring,1,7.6989584,7.6989584,30.561459,30.561459
2000,2000-07-14,h21v08,0,recurring,9,0.15729167,2.7885416,31.363543,33.203125
2000,2000-07-14,h21v08,1,unusual,2,1.6260417,1.721875,32.63229,32.80521
2000,2000-07-15,h21v08,0,recurring,12,0.096875,2.053125,31.155209,33.76146
2000,2000-07-15,h21v08,1,unusual,14,1.6260417,8.601042,32.63229,33.07396
2000,2000-07-16,h20v08,0,recurring,2,1.9239583,1.9239583,22.830208,22.832293
2000,2000-07-16,h21v08,0,recurring,11,0.134375,1.6947917,32.45729,33.803123
2000,2000-07-17,h21v08,0,recurring,10,0.08020833,6.0364585,33.14896,37.690624
2000,2000-07-17,h21v08,1,unusual,1,1.821875,1.821875,32.97604,32.97604
2000,2000-07-18,h21v08,0,recurring,12,0.098958336,6.248958,33.15729,37.80521
2000,2000-07-18,h21v08,1,unusual,9,0.055208333,7.565625,33.421875,38.690624
2000,2000-07-19,h21v08,0,recurring,16,0.08645833,6.4239583,33.182293,37.932293
2000,2000-07-19,h21v08,1,unusual,6,0.055208333,4.5260415,33.953125,36.173958
2000,2000-07-21,h21v08,0,recurring,4,0.34270832,0.37604168,31.913542,31.976042
2000,2000-07-22,h20v08,0,recurring,1,4.446875,4.446875,20.857292,20.857292
2000,2000-07-23,h21v08,0,recurring,19,0.065625,1.6135417,32.91354,33.88229
