admin_level,feature_index,name,pcode,parent_name,parent_pcode,centroid_latitude,centroid_longitude,min_longitude,min_latitude,max_longitude,max_latitude,area_km2,source_file
2,0,Juba,SS0101,Central Equatoria,SS01,4.717080387344535,31.483418748415648,30.513831808000077,3.957535776000043,32.17315423000019,5.465408737000189,18366.51488078527,ssd_admin2.geojson
2,1,Kajo-keji,SS0102,Central Equatoria,SS01,3.8958006731717547,31.46000025394376,31.09764291800019,3.636843178000163,31.80307342800006,4.128884976000052,2516.1045460267574,ssd_admin2.geojson
2,2,Lainya,SS0103,Central Equatoria,SS01,4.277637437022712,30.853728104246844,30.462508549000063,3.735756864999985,31.21042556800012,4.670024466000029,3498.916146247221,ssd_admin2.geojson
2,3,Morobo,SS0104,Central Equatoria,SS01,3.7404492946714756,30.83395033978468,30.557781291000026,3.487840075000122,31.09814222099999,3.948397152000098,1308.941909121544,ssd_admin2.geojson
2,4,Terekeka,SS0105,Central Equatoria,SS01,5.662623006150427,31.325756725523885,30.303941393000116,5.122710336000011,32.11441839200012,6.251062285000046,10672.129966167615,ssd_admin2.geojson
2,5,Yei,SS0106,Central Equatoria,SS01,4.2491522918875395,30.34605967694484,29.796630165000124,3.777047951000156,30.928965538000057,4.709303176000105,6720.548022919335,ssd_admin2.geojson
2,6,Budi,SS0201,Eastern Equatoria,SS02,4.360448263362272,33.44619134017409,33.00003117900019,3.833555528000147,33.938346889,4.909899325000026,5733.332609993283,ssd_admin2.geojson
2,7,Ikotos,SS0202,Eastern Equatoria,SS02,4.029073037062353,33.13097342531719,32.775515099000074,3.749111244000119,33.59536828100005,4.415616220000175,3511.096911114111,ssd_admin2.geojson
2,8,Kapoeta East,SS0203,Eastern Equatoria,SS02,5.13839608541555,34.6523774950423,33.626312874000064,4.180524586000104,35.951923671000145,6.008191775000057,29562.91101222892,ssd_admin2.geojson
2,9,Kapoeta North,SS0204,Eastern Equatoria,SS02,5.306582181835668,33.46191409990461,33.13001417300006,4.775680717000171,33.78288329700007,5.840269063000051,5733.141320180547,ssd_admin2.geojson
2,10,Kapoeta South,SS0205,Eastern Equatoria,SS02,4.563412802946129,33.680258231796884,33.44315501900007,4.217344677000028,33.918081901000164,4.873167962000139,1200.2065692139415,ssd_admin2.geojson
2,11,Lafon,SS0206,Eastern Equatoria,SS02,5.2492382257786385,32.67141607785206,32.098343134000174,4.462539869000182,33.311596910000105,5.851466225000138,16242.171972077307,ssd_admin2.geojson
2,12,Magwi,SS0207,Eastern Equatoria,SS02,3.9082885069753384,32.212781854619564,31.724287654000136,3.50439260100012,32.883019872000034,4.370194490000017,5200.662614613666,ssd_admin2.geojson
2,13,Torit,SS0208,Eastern Equatoria,SS02,4.372431371065005,32.567098158810126,32.007268756000144,3.821487379000189,33.05194596600012,4.944067777000043,5838.570433831993,ssd_admin2.geojson
2,14,Akobo,SS0301,Jonglei,SS03,7.799079255393334,32.85462208551368,32.16058842300009,7.192923508000035,33.52912563700005,8.438169082000059,9024.06750884834,ssd_admin2.geojson
2,15,Ayod,SS0302,Jonglei,SS03,8.291711341783587,30.980148642308997,30.272247314000083,7.695336945000065,31.707559138000192,8.848113787000159,13449.146530494223,ssd_admin2.geojson
2,16,Bor South,SS0303,Jonglei,SS03,6.46531554432414,32.00439093412412,31.313768387000152,5.850045157000125,32.63217895000014,7.097372487000086,13962.835621765043,ssd_admin2.geojson
2,17,Canal/Pigi,SS0304,Jonglei,SS03,9.084148427567788,31.441432882628508,31.07562198400018,8.767974220000042,31.82737541200015,9.42481589099998,4438.721624960883,ssd_admin2.geojson
2,18,Duk,SS0305,Jonglei,SS03,7.616556041496476,31.184132968204636,30.49938964800009,7.285166855999989,31.759890590000055,8.037069385000166,6885.0769070612405,ssd_admin2.geojson
2,19,Fangak,SS0306,Jonglei,SS03,9.066638914641445,30.684973745629346,30.2099056240001,8.570707595000101,31.175678785000116,9.519056320000061,7655.48650689537,ssd_admin2.geojson
2,20,Nyirol,SS0307,Jonglei,SS03,8.583171878722505,32.119580905499,31.491731272000038,8.037471248000088,32.64478940000009,9.097136589000058,7076.555087430134,ssd_admin2.geojson
2,21,Pibor,SS0308,Jonglei,SS03,6.39648675678231,33.569735753365784,32.38867795900012,5.720879300000092,35.021284045000186,7.399437007000188,33049.9081153064,ssd_admin2.geojson
2,22,Pochalla,SS0309,Jonglei,SS03,7.115001712816772,33.81344815600871,33.21596486800013,6.672016327,34.54343414300013,7.738244534000103,8261.133045747289,ssd_admin2.geojson
2,23,Twic East,SS0310,Jonglei,SS03,7.101208415418701,31.321885708421977,30.692350388000193,6.631059647000029,31.78965010600018,7.448753663000048,5943.90021407257,ssd_admin2.geojson
2,24,Uror,SS0311,Jonglei,SS03,7.625310076072284,32.111288579488786,31.525636473000077,7.019133855000177,32.77088204600017,8.367276388000107,12170.867611226007,ssd_admin2.geojson
