year,source_file,width,height,crs,min_longitude,min_latitude,max_longitude,max_latitude,valid_pixel_count,population_sum,population_mean,population_min,population_max,value_unit
2015,ssd_pop_2015_CN_100m_R2025A_v1.tif,14156,10496,EPSG:4326,24.152499183389995,3.490000322039986,35.94916580287,12.236666953719986,2759572,11113205.992991388,4.027148410330076,0.0,757.9988403320312,people per pixel
2016,ssd_pop_2016_CN_100m_R2025A_v1.tif,14156,10496,EPSG:4326,24.152499183389995,3.490000322039986,35.94916580287,12.236666953719986,2782100,11101917.01760839,3.990480937999493,0.0,757.8910522460938,people per pixel
2017,ssd_pop_2017_CN_100m_R2025A_v1.tif,14156,10496,EPSG:4326,24.152499183389995,3.490000322039986,35.94916580287,12.236666953719986,2805998,10558286.998983555,3.762756423555382,0.0,751.9569702148438,people per pixel
2018,ssd_pop_2018_CN_100m_R2025A_v1.tif,14156,10496,EPSG:4326,24.152499183389995,3.490000322039986,35.94916580287,12.236666953719986,2859420,9960019.999995869,3.48323086499915,0.0,742.813720703125,people per pixel
2019,ssd_pop_2019_CN_100m_R2025A_v1.tif,14156,10496,EPSG:4326,24.152499183389995,3.490000322039986,35.94916580287,12.236666953719986,2921769,10285933.978966622,3.5204473656085136,0.0,758.2626342773438,people per pixel
2020,ssd_pop_2020_CN_100m_R2025A_v1.tif,14156,10496,EPSG:4326,24.152499183389995,3.490000322039986,35.94916580287,12.236666953719986,2951160,10560833.963808605,3.5785365631848514,0.0,770.5655517578125,people per pixel
2021,ssd_pop_2021_CN_100m_R2025A_v1.tif,14156,10496,EPSG:4326,24.152499183389995,3.490000322039986,35.94916580287,12.236666953719986,2955658,10836099.970608544,3.6662225367781196,0.0,785.3892822265625,people per pixel
2022,ssd_pop_2022_CN_100m_R2025A_v1.tif,14156,10496,EPSG:4326,24.152499183389995,3.490000322039986,35.94916580287,12.236666953719986,2965260,10895459.858606026,3.6743691475978584,0.0,787.4475708007812,people per pixel
2023,ssd_pop_2023_CN_100m_R2025A_v1.tif,14156,10496,EPSG:4326,24.152499183389995,3.490000322039986,35.94916580287,12.236666953719986,2989445,11146894.969639253,3.728750644229699,0.0,801.7890625,people per pixel
2024,ssd_pop_2024_CN_100m_R2025A_v1.tif,14156,10496,EPSG:4326,24.152499183389995,3.490000322039986,35.94916580287,12.236666953719986,2998215,11819852.977213303,3.9422966589164896,0.0,846.6741333007812,people per pixel
2025,ssd_pop_2025_CN_100m_R2025A_v1.tif,14156,10496,EPSG:4326,24.152499183389995,3.490000322039986,35.94916580287,12.236666953719986,3009050,12066963.964927686,4.010223813139591,0.0,860.404541015625,people per pixel
